Product_ID,Product_Name,Category,Brand,Description,Price_INR,Weight,Flavor,Color,Image_Path,AI_Image_Prompt
1,Swaad Plus Milk 1L,Dairy,Swaad Plus,Premium milk 1l for Indian households.,1253,500ml,natural,blue,images/1.png,"Photorealistic Milk 1L, fictional brand 'Swaad Plus', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
2,Swaad Plus Cheese 200g,Dairy,Swaad Plus,Premium cheese 200g for Indian households.,1493,2kg,herbal,orange,images/2.png,"Photorealistic Cheese 200g, fictional brand 'Swaad Plus', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
3,PureHarvest India Cookies,Snacks,PureHarvest India,Premium cookies for Indian households.,1349,1kg,natural,brown,images/3.png,"Photorealistic Cookies, fictional brand 'PureHarvest India', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
4,Namma Choice Wheat Flour 5kg,Grocery,Namma Choice,Premium wheat flour 5kg for Indian households.,1037,200g,herbal,white,images/4.png,"Photorealistic Wheat Flour 5kg, fictional brand 'Namma Choice', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
5,Daily Harvest Curd 500g,Dairy,Daily Harvest,Premium curd 500g for Indian households.,1388,1kg,masala,black,images/5.png,"Photorealistic Curd 500g, fictional brand 'Daily Harvest', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
6,Annapurna Foods LED Bulb 9W,Electronics,Annapurna Foods,Premium led bulb 9w for Indian households.,859,500ml,mint,black,images/6.png,"Photorealistic LED Bulb 9W, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
7,Namma Choice Body Lotion,Personal Care,Namma Choice,Premium body lotion for Indian households.,1265,1L,mint,black,images/7.png,"Photorealistic Body Lotion, fictional brand 'Namma Choice', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
8,Swaad Plus Hair Oil,Personal Care,Swaad Plus,Premium hair oil for Indian households.,209,200g,natural,black,images/8.png,"Photorealistic Hair Oil, fictional brand 'Swaad Plus', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
9,FreshRoots Curd 500g,Dairy,FreshRoots,Premium curd 500g for Indian households.,830,1L,herbal,brown,images/9.png,"Photorealistic Curd 500g, fictional brand 'FreshRoots', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
10,Swaad Plus Toothpaste,Personal Care,Swaad Plus,Premium toothpaste for Indian households.,1131,500g,natural,red,images/10.png,"Photorealistic Toothpaste, fictional brand 'Swaad Plus', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
11,Desi Basket Masala Mixture,Snacks,Desi Basket,Premium masala mixture for Indian households.,1199,250ml,mint,black,images/11.png,"Photorealistic Masala Mixture, fictional brand 'Desi Basket', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
12,Annapurna Foods USB Cable,Electronics,Annapurna Foods,Premium usb cable for Indian households.,361,500ml,vanilla,red,images/12.png,"Photorealistic USB Cable, fictional brand 'Annapurna Foods', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
13,Annapurna Foods Paneer 200g,Dairy,Annapurna Foods,Premium paneer 200g for Indian households.,130,250ml,herbal,blue,images/13.png,"Photorealistic Paneer 200g, fictional brand 'Annapurna Foods', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
14,Swaad Plus USB Cable,Electronics,Swaad Plus,Premium usb cable for Indian households.,875,2kg,plain,black,images/14.png,"Photorealistic USB Cable, fictional brand 'Swaad Plus', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
15,FreshRoots Masala Mixture,Snacks,FreshRoots,Premium masala mixture for Indian households.,658,1L,natural,orange,images/15.png,"Photorealistic Masala Mixture, fictional brand 'FreshRoots', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
16,Bharat Fresh Salt 1kg,Grocery,Bharat Fresh,Premium salt 1kg for Indian households.,1132,100g,classic,red,images/16.png,"Photorealistic Salt 1kg, fictional brand 'Bharat Fresh', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
17,Griha Essentials Hair Oil,Personal Care,Griha Essentials,Premium hair oil for Indian households.,1317,1kg,masala,brown,images/17.png,"Photorealistic Hair Oil, fictional brand 'Griha Essentials', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
